"## RECSentity.id","entity.name","entity.categoryId","entity.message","entity.thumbnailUrl","entity.value","entity.pageUrl","entity.inventory","entity.margin","entity.brand"
"PAR_NEW0AP0PD32","iPad (32 GB)","19,19:27,19:43,69",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/g/o/gold-01_5.jpg","15900.00","https://store.ais.co.th/th/ipad-32-gb.html","0",,"Apple"
"PAR_Samsung_Galaxy_Note_8_Kivik_Cover","Samsung Galaxy Note 8 Kivik Cover","5,5:33",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/6/1/61126_back_hr_krusell_cover_kivik_1.jpg","495.00","https://store.ais.co.th/th/samsung-galaxy-note-8-kivik-cover.html","0",,"Krusell"
"PAR_Krusell_Samsung_Galaxy_S8_Bovik_Cover","เคส Krusell Samsung Galaxy S8 Bovik Cover","5,5:33,5:503",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/6/0/60961_front_hr_krusell_cover_bovik_1.jpg","395.00","https://store.ais.co.th/th/krusell-samsung-galaxy-s8-bovik-cover.html","0",,"Krusell"
"PAR_Apple_iPhone_X_Kivik_Cover","Apple iPhone X Kivik Cover","5,5:33",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/6/1/61122_planogram_hr_krusell_cover_kivik_1.jpg","495.00","https://store.ais.co.th/th/apple-iphone-x-kivik-cover.html","0",,"Krusell"
"PAR_Samsung_Galaxy_Note_8_Malmo_4_Card_FolioCase","Samsung Galaxy Note 8 Malmo 4 Card FolioCase","5,5:33",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/6/1/61156_front_hr_krusell_4-card-foliocase_malmo_1.jpg","695.00","https://store.ais.co.th/th/samsung-galaxy-note-8-malmo-4-card-foliocase.html","0",,"Krusell"
"PAR_NEW0AP0X256","iPhone X (256 GB)","4,4:39,4:365",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/iphonex-spgry_850x850_3.jpg","41900.00","https://store.ais.co.th/th/iphone-x-256gb.html","0",,"Apple"
"PAR_KRUSELL_SAMSUNG_S9_PLUS_SUNNE_2_CARD_FOLIO_CASE","KRUSELL SAMSUNG S9 PLUS SUNNE 2 CARD FOLIO CASE","5,5:33,449,5:503",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/6/1/61281_front_hr_krusell_2card_foliowallet_sunne_1.jpg","1195.00","https://store.ais.co.th/th/krusell-samsung-s9-plus-sunne-2-card-folio-case.html","0",,"Krusell"
"PAR_KRS_SS_S9_LOKA_FOLIOWALLET_2IN1_BK ","KRUSELL SAMSUNG S9 LOKA FOLIOWALLET 2IN1","33,449,503",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/6/1/61255_front_hr_krusell_3card_foliowallet_loka_1_1.jpg","995.00","https://store.ais.co.th/th/krusell-samsung-s9-loka-foliowallet-2in1-bk.html","0",,"Krusell"
"PAR_NEW0APXR256","iPhone XR (256 GB)","4,4:39,4:557,4:565,4:622,4:712,4:1316",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/iphonexr-red-pureangles-1_1_1.jpg","27900.00","https://store.ais.co.th/th/iphone-xr-256gb.html","9",,"Apple"
"PAR_NEW0RZPHON2","Razer Phone 2","4,4:17,4:584,4:598,714,1315,4:1326,1331,1333",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/r/a/razer-phone-2-renders_1.jpg","16991.00","https://store.ais.co.th/th/razer-phone-2.html","0",,
"PAR_NEW0AP01264","iPad Pro รุ่น 12.9 นิ้ว (64 GB)","19,19:27,19:589,622",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/ipadpro129-silver-pureangles-1.jpg","40900.00","https://store.ais.co.th/th/the-new-12-9-inch-ipad-pro-64gb.html","0",,"Apple"
"PAR_NEW0AP12512","iPad Pro รุ่น 12.9 นิ้ว (512 GB)","27,589,622",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/ipadpro129-silver-pureangles-1_1_1.jpg","52900.00","https://store.ais.co.th/th/the-new-12-9-inch-ipad-pro-512gb.html","0",,"Apple"
"PAR_NEW0AP01201","iPad Pro รุ่น 12.9 นิ้ว  (1 TB)","19,19:27,19:589,622",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/ipadpro129-silver-pureangles-1_1_1_1.jpg","59900.00","https://store.ais.co.th/th/the-new-12-9-inch-ipad-pro-1tb.html","0",,"Apple"
"PAR_NEW0AP11256","iPad Pro รุ่น 11 นิ้ว (256 GB)","27,589,622,1329",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/ipadpro129-silver-pureangles-1_1_1_1_1_1.jpg","38900.00","https://store.ais.co.th/th/the-new-11-inch-ipad-pro-256gb.html","0",,"Apple"
"PAR_NEW0AP01101wifi","iPad Pro รุ่น 11 นิ้ว (1 TB) รุ่น WiFi","27,622,1329",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/ipadpro129-silver-pureangles-1_1_1_2_1_1_1.jpg","47900.00","https://store.ais.co.th/th/the-new-11-inch-ipad-pro-1-tb-wifi.html","4",,"Apple"
"PAR_NEW0ON7P825","OnePlus 7 Pro 256GB (RAM 8 GB)","4,4:475,714,4:716,1332,1333,4:1351",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/o/n/oneplus7pro_bluepurple_850x850_1_1_1.jpg","19990.00","https://store.ais.co.th/th/oneplus-7-pro-256gb-ram-8-gb.html","0",,"OnePlus"
"PAR_NEW0AP01164wifi","iPad Pro รุ่น 11 นิ้ว (64 GB) รุ่น WiFi","27,622,1329",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/ipadpro129-silver-pureangles-1_1_1_2.jpg","28900.00","https://store.ais.co.th/th/the-new-11-inch-ipad-pro-64-gb-wifi.html","4",,"Apple"
